Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,358.000000,358.130005,347.359985,351.489990,347.173370,4638400
2021-01-05,348.799988,353.000000,345.440002,347.420013,343.153381,2990700
2021-01-06,350.420013,354.029999,344.559998,347.549988,343.281799,3966800
2021-01-07,348.950012,352.369995,348.380005,349.859985,346.001465,3100200
2021-01-08,351.359985,354.980011,349.489990,353.850006,349.947479,3371500
2021-01-11,352.109985,353.420013,347.790009,348.200012,344.359772,2403000
2021-01-12,347.079987,348.000000,336.029999,342.920013,339.138000,4858100
2021-01-13,349.609985,349.760010,344.230011,346.329987,342.510376,4125700
2021-01-14,348.690002,349.579987,326.690002,326.929993,323.324341,8712200
2021-01-15,327.540009,329.690002,321.880005,323.260010,319.694855,7911500
2021-01-19,326.989990,329.130005,324.660004,325.940002,322.345306,4625200
2021-01-20,329.989990,337.929993,329.130005,334.910004,331.216370,5081000
2021-01-21,334.410004,336.859985,331.750000,334.440002,330.751526,3484900
2021-01-22,330.390015,335.149994,328.910004,328.989990,325.361633,3846600
2021-01-25,327.510010,329.950012,317.230011,329.190002,325.559418,6257700
2021-01-26,330.000000,330.540009,325.820007,327.700012,324.085876,3503100
2021-01-27,320.359985,323.000000,313.119995,315.489990,312.010529,7449400
2021-01-28,327.089996,329.000000,321.980011,324.279999,320.703522,6906400
2021-01-29,323.799988,325.679993,312.380005,316.290009,312.801727,7627200
2021-02-01,320.910004,323.519989,317.579987,321.559998,318.013550,4930700
2021-02-02,323.450012,336.160004,323.450012,334.369995,330.682312,5686000
2021-02-03,333.839996,336.000000,331.070007,332.820007,329.149445,4036800
2021-02-04,335.369995,343.250000,335.059998,340.829987,337.071045,4537500
2021-02-05,342.519989,344.329987,337.390015,338.750000,335.013977,2964800
2021-02-08,340.000000,341.489990,335.529999,337.029999,333.312897,2652800
2021-02-09,335.950012,336.220001,330.000000,333.440002,329.762573,2993300
2021-02-10,335.000000,335.470001,332.250000,334.209991,330.524048,4246300
2021-02-11,345.500000,349.589996,340.250000,342.869995,339.088593,5110800
2021-02-12,341.329987,343.119995,336.700012,341.000000,337.239136,3025100
2021-02-16,343.200012,344.000000,338.070007,341.209991,337.446869,2916900
2021-02-17,339.040009,340.380005,335.839996,337.329987,333.609619,2267000
2021-02-18,334.489990,339.950012,332.839996,338.459991,334.727173,2393700
2021-02-19,338.440002,339.000000,331.000000,333.170013,329.495514,4095800
2021-02-22,330.000000,344.119995,328.769989,340.660004,336.902924,4940300
2021-02-23,340.649994,354.279999,338.410004,350.420013,346.555298,6326600
2021-02-24,352.869995,368.790009,350.570007,367.320007,363.268890,7467400
2021-02-25,364.559998,367.320007,352.209991,354.570007,350.659485,5207500
2021-02-26,357.079987,359.390015,347.119995,353.850006,349.947479,4868500
2021-03-01,360.679993,366.450012,359.179993,362.899994,358.897644,4382900
2021-03-02,362.000000,366.609985,359.339996,362.820007,358.818542,3559200
2021-03-03,360.000000,365.429993,355.450012,360.250000,356.276886,3692300
2021-03-04,360.100006,361.630005,344.679993,349.500000,345.645416,4572000
2021-03-05,354.920013,361.790009,346.420013,360.880005,356.899902,4643200
2021-03-08,362.399994,382.459991,361.790009,371.329987,367.234650,7213300
2021-03-09,375.000000,387.320007,372.720001,376.519989,372.367432,5832800
2021-03-10,376.600006,384.000000,373.000000,381.700012,377.490326,4509500
2021-03-11,385.500000,389.500000,382.600006,384.380005,380.140778,3729700
2021-03-12,381.140015,383.929993,379.239990,382.709991,378.489166,2467500
2021-03-15,383.309998,387.859985,378.640015,381.760010,377.549622,4216200
2021-03-16,382.700012,385.279999,378.690002,382.380005,378.162842,3445100
2021-03-17,381.850006,385.100006,375.869995,378.679993,374.503601,3240900
2021-03-18,375.029999,375.480011,365.040009,367.000000,362.952454,7205200
2021-03-19,364.799988,366.279999,350.140015,356.510010,352.578156,12224300
2021-03-22,355.940002,361.649994,354.000000,358.399994,354.447266,4140400
2021-03-23,359.299988,359.299988,353.510010,355.269989,351.351746,3756300
2021-03-24,357.079987,364.989990,356.000000,359.649994,355.683502,3550000
2021-03-25,358.010010,359.470001,354.149994,358.359985,354.407654,2961800
2021-03-26,359.929993,366.609985,357.260010,366.140015,362.101929,2741200
2021-03-29,364.239990,365.350006,358.609985,362.910004,358.907532,4054900
2021-03-30,360.779999,364.570007,357.100006,358.200012,354.249481,2885800
2021-03-31,359.589996,361.500000,355.779999,356.049988,352.123138,4372600
2021-04-01,357.040009,363.399994,355.239990,363.299988,359.293152,3701800
2021-04-05,366.799988,370.519989,364.339996,368.320007,364.257874,2180300
2021-04-06,364.899994,370.750000,362.500000,369.570007,365.494080,2661900
2021-04-07,369.140015,373.959991,369.000000,371.079987,366.987396,2958300
2021-04-08,373.000000,379.309998,372.750000,377.739990,374.017426,3528400
2021-04-09,376.079987,380.350006,374.440002,380.079987,376.334381,2429300
2021-04-12,378.079987,380.940002,376.179993,379.839996,376.096741,2896600
2021-04-13,379.059998,380.100006,376.799988,378.130005,374.403625,2652800
2021-04-14,377.000000,380.950012,375.600006,378.320007,374.591797,2317400
2021-04-15,381.170013,387.369995,380.970001,386.489990,382.681213,2942200
2021-04-16,389.000000,389.100006,383.670013,386.170013,382.364410,2725500
2021-04-19,384.899994,387.739990,381.320007,382.160004,378.393890,3360900
2021-04-20,380.190002,381.309998,373.559998,376.630005,372.918427,3135900
2021-04-21,378.589996,384.100006,376.670013,383.100006,379.324646,2466300
2021-04-22,383.079987,389.500000,381.989990,383.359985,379.582092,3713700
2021-04-23,384.350006,389.880005,383.459991,387.059998,383.245605,2294800
2021-04-26,387.829987,392.940002,387.100006,387.470001,383.651550,2255000
2021-04-27,388.220001,390.429993,386.140015,389.070007,385.235779,2270000
2021-04-28,390.700012,401.500000,390.700012,395.649994,391.750977,4065300
2021-04-29,391.500000,392.390015,383.809998,388.950012,385.117004,4637100
2021-04-30,382.859985,385.000000,375.609985,382.059998,378.294891,4043200
